"raceId","year","round","circuitId","GPname","date","startTime","circuitRef","circuitName","location","country","lat","lng","alt","continent"
1099,2023,2,77,"Saudi Arabian Grand Prix","2023-03-19","17:00:00","jeddah","Jeddah Corniche Circuit","Jeddah","Saudi Arabia",21.6319,39.1044,15,"Asia"
1100,2023,3,1,"Australian Grand Prix","2023-04-02","05:00:00","albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10,"Oceania"
1101,2023,4,73,"Azerbaijan Grand Prix","2023-04-30","11:00:00","baku","Baku City Circuit","Baku","Azerbaijan",40.3725,49.8533,-7,"Europe"
1102,2023,5,79,"Miami Grand Prix","2023-05-07","19:30:00","miami","Miami International Autodrome","Miami","USA",25.9581,-80.2389,0,"North America"
1104,2023,6,6,"Monaco Grand Prix","2023-05-28","13:00:00","monaco","Circuit de Monaco","Monte-Carlo","Monaco",43.7347,7.42056,7,"Europe"
1105,2023,7,4,"Spanish Grand Prix","2023-06-04","13:00:00","catalunya","Circuit de Barcelona-Catalunya","Montmeló","Spain",41.57,2.26111,109,"Europe"
1106,2023,8,7,"Canadian Grand Prix","2023-06-18","18:00:00","villeneuve","Circuit Gilles Villeneuve","Montreal","Canada",45.5,-73.5228,13,"North America"
1107,2023,9,70,"Austrian Grand Prix","2023-07-02","13:00:00","red_bull_ring","Red Bull Ring","Spielberg","Austria",47.2197,14.7647,678,"Europe"
1108,2023,10,9,"British Grand Prix","2023-07-09","14:00:00","silverstone","Silverstone Circuit","Silverstone","UK",52.0786,-1.01694,153,"Europe"
1109,2023,11,11,"Hungarian Grand Prix","2023-07-23","13:00:00","hungaroring","Hungaroring","Budapest","Hungary",47.5789,19.2486,264,"Europe"
1110,2023,12,13,"Belgian Grand Prix","2023-07-30","13:00:00","spa","Circuit de Spa-Francorchamps","Spa","Belgium",50.4372,5.97139,401,"Europe"
1111,2023,13,39,"Dutch Grand Prix","2023-08-27","13:00:00","zandvoort","Circuit Park Zandvoort","Zandvoort","Netherlands",52.3888,4.54092,6,"Europe"
1112,2023,14,14,"Italian Grand Prix","2023-09-03","13:00:00","monza","Autodromo Nazionale di Monza","Monza","Italy",45.6156,9.28111,162,"Europe"
1113,2023,15,15,"Singapore Grand Prix","2023-09-17","12:00:00","marina_bay","Marina Bay Street Circuit","Marina Bay","Singapore",1.2914,103.864,18,"Asia"
1114,2023,16,22,"Japanese Grand Prix","2023-09-24","05:00:00","suzuka","Suzuka Circuit","Suzuka","Japan",34.8431,136.541,45,"Asia"
1115,2023,17,78,"Qatar Grand Prix","2023-10-08","17:00:00","losail","Losail International Circuit","Al Daayen","Qatar",25.49,51.4542,12,"Asia"
1116,2023,18,69,"United States Grand Prix","2023-10-22","19:00:00","americas","Circuit of the Americas","Austin","USA",30.1328,-97.6411,161,"North America"
1117,2023,19,32,"Mexico City Grand Prix","2023-10-29","20:00:00","rodriguez","Autódromo Hermanos Rodríguez","Mexico City","Mexico",19.4042,-99.0907,2227,"North America"
1118,2023,20,18,"São Paulo Grand Prix","2023-11-05","17:00:00","interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,785,"South America"
1119,2023,21,80,"Las Vegas Grand Prix","2023-11-19","06:00:00","vegas","Las Vegas Strip Street Circuit","Las Vegas","USA",36.1147,-115.173,642,"North America"
1120,2023,22,24,"Abu Dhabi Grand Prix","2023-11-26","13:00:00","yas_marina","Yas Marina Circuit","Abu Dhabi","UAE",24.4672,54.6031,3,"Asia"
1121,2024,1,3,"Bahrain Grand Prix","2024-03-02","15:00:00","bahrain","Bahrain International Circuit","Sakhir","Bahrain",26.0325,50.5106,7,"Asia"
1122,2024,2,77,"Saudi Arabian Grand Prix","2024-03-09","17:00:00","jeddah","Jeddah Corniche Circuit","Jeddah","Saudi Arabia",21.6319,39.1044,15,"Asia"
1123,2024,3,1,"Australian Grand Prix","2024-03-24","04:00:00","albert_park","Albert Park Grand Prix Circuit","Melbourne","Australia",-37.8497,144.968,10,"Oceania"
1124,2024,4,22,"Japanese Grand Prix","2024-04-07","05:00:00","suzuka","Suzuka Circuit","Suzuka","Japan",34.8431,136.541,45,"Asia"
1125,2024,5,17,"Chinese Grand Prix","2024-04-21","07:00:00","shanghai","Shanghai International Circuit","Shanghai","China",31.3389,121.22,5,"Asia"
1126,2024,6,79,"Miami Grand Prix","2024-05-05","20:00:00","miami","Miami International Autodrome","Miami","USA",25.9581,-80.2389,0,"North America"
1127,2024,7,21,"Emilia Romagna Grand Prix","2024-05-19","13:00:00","imola","Autodromo Enzo e Dino Ferrari","Imola","Italy",44.3439,11.7167,37,"Europe"
1128,2024,8,6,"Monaco Grand Prix","2024-05-26","13:00:00","monaco","Circuit de Monaco","Monte-Carlo","Monaco",43.7347,7.42056,7,"Europe"
1129,2024,9,7,"Canadian Grand Prix","2024-06-09","18:00:00","villeneuve","Circuit Gilles Villeneuve","Montreal","Canada",45.5,-73.5228,13,"North America"
1130,2024,10,4,"Spanish Grand Prix","2024-06-23","13:00:00","catalunya","Circuit de Barcelona-Catalunya","Montmeló","Spain",41.57,2.26111,109,"Europe"
1131,2024,11,70,"Austrian Grand Prix","2024-06-30","13:00:00","red_bull_ring","Red Bull Ring","Spielberg","Austria",47.2197,14.7647,678,"Europe"
